Common Question Text (group),Common Question ID,Year ID,RowHeaderID,Network or School,Group By,Color Coding,Color Coding (group),Response Text,% of Total Count of Respondents,Count of Respondents,Show N's,% of Total Distinct count of Respondent ID
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland International HS,All Students,610F,610F,More than once a week,6.097560976%,10,10,6.097560976%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland International HS,All Students,,,Did not answer,4.878048780%,8,8,4.878048780%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland Technical High School,All Students,661A,661A,0 times,51.781818182%,712,712,51.781818182%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland Technical High School,All Students,650B,650B,1–2 times,17.090909091%,235,235,17.090909091%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland Technical High School,All Students,640C,640C,A few times,15.854545455%,218,218,15.854545455%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland Technical High School,All Students,630D,630D,Once a month,3.781818182%,52,52,3.781818182%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland Technical High School,All Students,620E,620E,Once a week,3.418181818%,47,47,3.418181818%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland Technical High School,All Students,610F,610F,More than once a week,5.672727273%,78,78,5.672727273%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Oakland Technical High School,All Students,,,Did not answer,2.4%,33,33,2.4%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Ralph J Bunche High School,All Students,661A,661A,0 times,45%,18,18,45%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Ralph J Bunche High School,All Students,650B,650B,1–2 times,10%,4,4,10%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Ralph J Bunche High School,All Students,640C,640C,A few times,25%,10,10,25%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Ralph J Bunche High School,All Students,610F,610F,More than once a week,10%,4,4,10%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Ralph J Bunche High School,All Students,,,Did not answer,10%,4,4,10%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Rudsdale Continuation,All Students,661A,661A,0 times,27.184466019%,28,28,27.184466019%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Rudsdale Continuation,All Students,650B,650B,1–2 times,17.475728155%,18,18,17.475728155%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Rudsdale Continuation,All Students,640C,640C,A few times,26.213592233%,27,27,26.213592233%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Rudsdale Continuation,All Students,630D,630D,Once a month,2.912621359%,3,3,2.912621359%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Rudsdale Continuation,All Students,620E,620E,Once a week,5.825242718%,6,6,5.825242718%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Rudsdale Continuation,All Students,610F,610F,More than once a week,17.475728155%,18,18,17.475728155%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Rudsdale Continuation,All Students,,,Did not answer,2.912621359%,3,3,2.912621359%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Skyline High School,All Students,661A,661A,0 times,56.670010030%,565,565,56.670010030%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Skyline High School,All Students,650B,650B,1–2 times,16.950852558%,169,169,16.950852558%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Skyline High School,All Students,640C,640C,A few times,13.941825476%,139,139,13.941825476%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Skyline High School,All Students,630D,630D,Once a month,2.106318957%,21,21,2.106318957%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Skyline High School,All Students,620E,620E,Once a week,1.905717151%,19,19,1.905717151%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Skyline High School,All Students,610F,610F,More than once a week,5.015045135%,50,50,5.015045135%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Skyline High School,All Students,,,Did not answer,3.410230692%,34,34,3.410230692%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Street Academy,All Students,661A,661A,0 times,71.428571429%,10,10,71.428571429%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Street Academy,All Students,650B,650B,1–2 times,14.285714286%,2,2,14.285714286%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Street Academy,All Students,610F,610F,More than once a week,7.142857143%,1,1,7.142857143%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2015-16,A20,Street Academy,All Students,,,Did not answer,7.142857143%,1,1,7.142857143%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Bret Harte Middle School,All Students,771A,771A,0 times,37.5%,42,42,37.5%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Bret Harte Middle School,All Students,760B,760B,1–2 times,20.535714286%,23,23,20.535714286%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Bret Harte Middle School,All Students,750C,750C,A few times,11.607142857%,13,13,11.607142857%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Bret Harte Middle School,All Students,740D,740D,Once a month,1.785714286%,2,2,1.785714286%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Bret Harte Middle School,All Students,730E,730E,Twice a month,3.571428571%,4,4,3.571428571%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Bret Harte Middle School,All Students,720F,720F,Once a week,4.464285714%,5,5,4.464285714%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Bret Harte Middle School,All Students,710G,710G,More than once a week,5.357142857%,6,6,5.357142857%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Bret Harte Middle School,All Students,,,Did not answer,15.178571429%,17,17,15.178571429%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Castlemont High School,All Students,771A,771A,0 times,28.388278388%,155,155,28.388278388%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Castlemont High School,All Students,760B,760B,1–2 times,24.542124542%,134,134,24.542124542%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Castlemont High School,All Students,750C,750C,A few times,21.062271062%,115,115,21.062271062%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Castlemont High School,All Students,740D,740D,Once a month,2.197802198%,12,12,2.197802198%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Castlemont High School,All Students,730E,730E,Twice a month,3.663003663%,20,20,3.663003663%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Castlemont High School,All Students,720F,720F,Once a week,2.747252747%,15,15,2.747252747%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Castlemont High School,All Students,710G,710G,More than once a week,11.721611722%,64,64,11.721611722%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Castlemont High School,All Students,,,Did not answer,5.677655678%,31,31,5.677655678%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Coliseum College Prep Academy,All Students,771A,771A,0 times,75.708502024%,187,187,75.708502024%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Coliseum College Prep Academy,All Students,760B,760B,1–2 times,9.716599190%,24,24,9.716599190%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Coliseum College Prep Academy,All Students,750C,750C,A few times,6.072874494%,15,15,6.072874494%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Coliseum College Prep Academy,All Students,740D,740D,Once a month,0.809716599%,2,2,0.809716599%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Coliseum College Prep Academy,All Students,730E,730E,Twice a month,0.809716599%,2,2,0.809716599%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Coliseum College Prep Academy,All Students,720F,720F,Once a week,0.404858300%,1,1,0.404858300%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Coliseum College Prep Academy,All Students,710G,710G,More than once a week,5.263157895%,13,13,5.263157895%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Coliseum College Prep Academy,All Students,,,Did not answer,1.214574899%,3,3,1.214574899%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Community Day,All Students,771A,771A,0 times,35.714285714%,5,5,35.714285714%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Community Day,All Students,760B,760B,1–2 times,21.428571429%,3,3,21.428571429%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Community Day,All Students,750C,750C,A few times,28.571428571%,4,4,28.571428571%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Community Day,All Students,710G,710G,More than once a week,14.285714286%,2,2,14.285714286%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Dewey Academy,All Students,771A,771A,0 times,56.880733945%,62,62,56.880733945%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Dewey Academy,All Students,760B,760B,1–2 times,13.761467890%,15,15,13.761467890%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Dewey Academy,All Students,750C,750C,A few times,3.669724771%,4,4,3.669724771%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Dewey Academy,All Students,740D,740D,Once a month,2.752293578%,3,3,2.752293578%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Dewey Academy,All Students,730E,730E,Twice a month,2.752293578%,3,3,2.752293578%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Dewey Academy,All Students,720F,720F,Once a week,1.834862385%,2,2,1.834862385%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Dewey Academy,All Students,710G,710G,More than once a week,7.339449541%,8,8,7.339449541%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Dewey Academy,All Students,,,Did not answer,11.009174312%,12,12,11.009174312%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Fremont High School,All Students,771A,771A,0 times,45.088161209%,179,179,45.088161209%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Fremont High School,All Students,760B,760B,1–2 times,16.876574307%,67,67,16.876574307%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Fremont High School,All Students,750C,750C,A few times,17.128463476%,68,68,17.128463476%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Fremont High School,All Students,740D,740D,Once a month,1.007556675%,4,4,1.007556675%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Fremont High School,All Students,730E,730E,Twice a month,3.022670025%,12,12,3.022670025%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Fremont High School,All Students,720F,720F,Once a week,2.770780856%,11,11,2.770780856%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Fremont High School,All Students,710G,710G,More than once a week,7.556675063%,30,30,7.556675063%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Fremont High School,All Students,,,Did not answer,6.549118388%,26,26,6.549118388%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Gateway to College,All Students,771A,771A,0 times,54.838709677%,17,17,54.838709677%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Gateway to College,All Students,760B,760B,1–2 times,19.354838710%,6,6,19.354838710%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Gateway to College,All Students,750C,750C,A few times,12.903225806%,4,4,12.903225806%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Gateway to College,All Students,710G,710G,More than once a week,6.451612903%,2,2,6.451612903%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Gateway to College,All Students,,,Did not answer,6.451612903%,2,2,6.451612903%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Life Academy,All Students,771A,771A,0 times,73.640167364%,176,176,73.640167364%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Life Academy,All Students,760B,760B,1–2 times,8.786610879%,21,21,8.786610879%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Life Academy,All Students,750C,750C,A few times,7.949790795%,19,19,7.949790795%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Life Academy,All Students,740D,740D,Once a month,0.418410042%,1,1,0.418410042%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Life Academy,All Students,730E,730E,Twice a month,1.255230126%,3,3,1.255230126%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Life Academy,All Students,720F,720F,Once a week,1.673640167%,4,4,1.673640167%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Life Academy,All Students,710G,710G,More than once a week,3.347280335%,8,8,3.347280335%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Life Academy,All Students,,,Did not answer,2.928870293%,7,7,2.928870293%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Madison Park Academy 6-12,All Students,771A,771A,0 times,59.539473684%,181,181,59.539473684%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Madison Park Academy 6-12,All Students,760B,760B,1–2 times,10.855263158%,33,33,10.855263158%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Madison Park Academy 6-12,All Students,750C,750C,A few times,7.565789474%,23,23,7.565789474%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Madison Park Academy 6-12,All Students,740D,740D,Once a month,0.657894737%,2,2,0.657894737%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Madison Park Academy 6-12,All Students,730E,730E,Twice a month,0.657894737%,2,2,0.657894737%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Madison Park Academy 6-12,All Students,720F,720F,Once a week,1.644736842%,5,5,1.644736842%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Madison Park Academy 6-12,All Students,710G,710G,More than once a week,6.907894737%,21,21,6.907894737%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,Madison Park Academy 6-12,All Students,,,Did not answer,12.171052632%,37,37,12.171052632%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,McClymonds HS,All Students,771A,771A,0 times,52.293577982%,114,114,52.293577982%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,McClymonds HS,All Students,760B,760B,1–2 times,17.431192661%,38,38,17.431192661%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,McClymonds HS,All Students,750C,750C,A few times,16.513761468%,36,36,16.513761468%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,McClymonds HS,All Students,740D,740D,Once a month,1.376146789%,3,3,1.376146789%
"During the past 12 months, about how many times did you skip school or cut classes?",174,2017-18,A21,McClymonds HS,All Students,730E,730E,Twice a month,0.458715596%,1,1,0.458715596%
